Time;Speed;;;;
0.905092;3.64215;;;;
0.930692;3.86466;;;;
0.930852;3.86646;;;;
0.955052;3.86152;;;;
0.955208;3.63497;;;;
0.98084;3.86226;;;;
0.980992;3.86286;;;;
1.005736;3.77838;;;;
1.005892;4;;;;
1.029988;3.87872;;;;
1.03014;3.87936;;;;
1.055404;3.91879;;;;
1.055568;3.91694;;;;
1.080196;4.01742;;;;
1.080348;4.01937;;;;
1.108456;3.91602;;;;
1.10862;4.11007;;;;
1.133792;3.93116;;;;
1.133964;3.92992;;;;
1.158556;4.24541;;;;
1.158708;4.02522;;;;
1.184428;4.06359;;;;
1.184592;4.06171;;;;
1.209244;4.23651;;;;
1.209396;4.23856;;;;
1.234628;4.14172;;;;
1.234784;4.14106;;;;
1.25942;4.24061;;;;
1.259584;4.23925;;;;
1.285264;4.068;;;;
1.285432;4.28144;;;;
1.310676;4.3549;;;;
1.310832;4.13911;;;;
1.33562;4.21477;;;;
1.335776;4.21477;;;;
1.364016;4.28699;;;;
1.364168;4.28759;;;;
1.388724;4.25503;;;;
1.388876;4.25503;;;;
1.41342;4.48116;;;;
1.413596;4.47681;;;;
1.438776;4.36452;;;;
1.438932;4.36796;;;;
1.463552;4.24335;;;;
1.463724;4.24061;;;;
1.48882;4.37972;;;;
1.488992;4.37972;;;;
1.513692;4.44945;;;;
1.513844;4.45303;;;;
1.539064;4.36176;;;;
1.53922;4.36108;;;;
1.56336;4.32719;;;;
1.563528;4.55268;;;;
1.588716;4.36452;;;;
1.588872;4.36658;;;;
1.61462;4.6994;;;;
1.614792;4.48302;;;;
1.639988;4.36245;;;;
1.640148;4.36452;;;;
1.669052;4.37884;;;;
1.669224;4.56734;;;;
1.694448;4.57552;;;;
1.694608;4.3597;;;;
1.719312;4.45088;;;;
1.719464;4.67493;;;;
1.74472;4.57336;;;;
1.744872;4.35558;;;;
1.769632;4.4423;;;;
1.7698;4.66142;;;;
1.795048;4.57192;;;;
1.795204;4.57408;;;;
1.819388;4.5467;;;;
1.819552;4.54521;;;;
1.844148;4.46957;;;;
1.844304;4.47102;;;;
1.869628;4.7776;;;;
1.86978;4.56116;;;;
1.894992;4.36314;;;;
1.895152;4.57985;;;;
1.923872;4.59834;;;;
1.924024;4.59961;;;;
1.948592;4.70065;;;;
1.948748;4.47608;;;;
1.973496;4.66592;;;;
1.97366;4.66442;;;;
1.99884;4.36658;;;;
1.999012;4.58346;;;;
2.023164;4.77717;;;;
2.023336;4.77717;;;;
2.049044;4.48995;;;;
2.0492;4.49273;;;;
2.073368;4.54969;;;;
2.073548;4.54521;;;;
2.098228;4.67418;;;;
2.098396;4.89912;;;;
2.1237;4.56187;;;;
2.123868;4.34464;;;;
2.148024;4.77717;;;;
2.14818;4.77953;;;;
2.173884;4.49343;;;;
2.17404;4.7074;;;;
2.198264;4.7662;;;;
2.19842;4.53924;;;;
2.224656;4.82217;;;;
2.224816;4.82144;;;;
2.253576;4.59198;;;;
2.253728;4.59325;;;;
2.278308;4.69837;;;;
2.27846;4.69837;;;;
2.303704;4.57552;;;;
2.303856;4.57552;;;;
2.328524;4.68171;;;;
2.328704;4.89912;;;;
2.353944;4.78888;;;;
2.3541;4.57552;;;;
2.379788;4.71031;;;;
2.379944;4.92442;;;;
2.404204;4.75917;;;;
2.40436;4.53255;;;;
2.429648;4.56689;;;;
2.4298;4.78511;;;;
2.4544;4.69457;;;;
2.454576;4.69002;;;;
2.47932;4.66292;;;;
2.479492;4.66367;;;;
2.504624;4.81083;;;;
2.50478;4.59506;;;;
2.529012;4.76464;;;;
2.529168;4.76464;;;;
2.554852;4.71104;;;;
2.555004;4.71177;;;;
2.579776;4.66217;;;;
2.579928;4.88418;;;;
2.605084;4.59143;;;;
2.605256;4.80627;;;;
2.629408;4.77717;;;;
2.629588;4.54819;;;;
2.654252;4.67719;;;;
2.65442;4.90228;;;;
2.679632;4.79643;;;;
2.679788;4.58057;;;;
2.704372;4.69685;;;;
2.704552;4.6923;;;;
2.729784;4.79039;;;;
2.72994;4.79492;;;;
2.754696;4.66442;;;;
2.754848;4.66517;;;;
2.779;4.78111;;;;
2.779152;4.78111;;;;
2.80442;4.78888;;;;
2.80458;4.78737;;;;
2.8292;4.68927;;;;
2.829356;4.69002;;;;
2.854624;4.78813;;;;
2.85478;4.78813;;;;
2.879952;4.80627;;;;
2.880104;4.80703;;;;
2.908412;4.6662;;;;
2.908576;4.66423;;;;
2.933692;4.8154;;;;
2.933844;4.81769;;;;
2.958008;4.55119;;;;
2.95818;4.77482;;;;
2.983904;4.91453;;;;
2.984056;4.70449;;;;
3.008268;4.76933;;;;
3.00842;4.76933;;;;
3.034172;4.6994;;;;
3.034324;4.6994;;;;
3.059504;4.80552;;;;
3.05968;4.80097;;;;

