Time;Speed;;;;
0.000156;0.430878;;;;
0.024732;0.447463;;;;
0.024884;0.447536;;;;
0.049904;0.659463;;;;
0.05006;0.659358;;;;
0.075572;1.07787;;;;
0.075744;1.07719;;;;
0.100248;1.34544;;;;
0.10042;1.34544;;;;
0.126048;1.50129;;;;
0.126204;1.50222;;;;
0.150248;1.8292;;;;
0.1504;1.60082;;;;
0.175012;2.01098;;;;
0.175164;2.01098;;;;
0.20086;2.14072;;;;
0.201016;2.35443;;;;
0.22522;2.49863;;;;
0.225376;2.27148;;;;
0.250992;2.36174;;;;
0.251148;2.57644;;;;
0.275236;2.51059;;;;
0.275392;2.28235;;;;
0.301504;2.52779;;;;
0.301668;2.52702;;;;
0.329304;2.38849;;;;
0.329464;2.38883;;;;
0.354572;2.18986;;;;
0.354724;2.40961;;;;
0.379852;2.62658;;;;
0.380004;2.62658;;;;
0.404156;2.73206;;;;
0.404312;2.50398;;;;
0.429884;2.58085;;;;
0.43004;2.58085;;;;
0.454652;2.45747;;;;
0.454804;2.68131;;;;
0.4789;2.73837;;;;
0.479056;2.73792;;;;
0.504776;2.77992;;;;
0.504932;2.56608;;;;
0.52908;2.73206;;;;
0.529232;2.96022;;;;
0.55482;3.00958;;;;
0.554976;2.79418;;;;
0.57968;2.89354;;;;
0.579832;3.11662;;;;
0.604464;3.12567;;;;
0.604624;3.12466;;;;
0.629676;3.07261;;;;
0.629828;3.07359;;;;
0.655048;3.27132;;;;
0.6552;3.27132;;;;
0.680728;3.23209;;;;
0.680884;3.23158;;;;
0.705412;3.3625;;;;
0.705572;3.36196;;;;
0.729772;3.18008;;;;
0.729928;3.40778;;;;
0.755588;3.4294;;;;
0.755744;3.4294;;;;
0.780412;3.56644;;;;
0.780576;3.56529;;;;
0.805712;3.49934;;;;
0.805868;3.50045;;;;
0.830448;3.57913;;;;
0.830608;3.57855;;;;
0.855824;3.70691;;;;
0.85598;3.7075;;;;
0.880628;3.56932;;;;
0.880784;3.7924;;;;
0.90492;3.64455;;;;
